@relation CreditApproval-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 {u,y,l}
@attribute A5 {g,p,gg}
@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A7 {v,h,bb,ff,j,z,o,dd,n}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {f,t}
@attribute A13 {g,s,p}
@attribute A14 numeric
@attribute A15 numeric
@attribute Class {+,-}

@data
b,0.256842,0,u,g,w,v,0.04386,t,t,0.014925,f,g,0.101,0,+
a,0.675489,0.159286,u,g,q,h,0.106667,t,t,0.089552,f,g,0.0215,0.0056,+
a,0.161654,0.017857,u,g,q,h,0.052632,t,f,0,f,g,0.14,0.00824,+
b,0.211729,0.055,u,g,w,v,0.131579,t,t,0.074627,t,g,0.05,0.00003,+
b,0.096541,0.200893,u,g,w,v,0.06,t,f,0,f,s,0.06,0,+
b,0.275639,0.142857,u,g,m,v,0.087719,t,f,0,t,g,0.18,0,+
b,0.29203,0.037143,u,g,r,h,0.22807,t,f,0,t,g,0.082,0.31285,+
a,0.137895,0.41375,u,g,cc,v,0.001404,t,f,0,f,g,0.04,0.01349,+
b,0.611579,0.017857,y,p,k,h,0.138947,t,f,0,f,g,0.09,0.00314,+
b,0.432331,0.175536,y,p,w,v,0.111053,t,f,0,t,g,0.026,0.01442,+
b,0.125263,0.029643,u,g,c,h,0.075965,f,f,0,t,g,0.064,0,+
b,0.243158,0.065536,u,g,c,h,0.152105,t,f,0,f,g,0.13,0.002,+
a,0.368421,0.214286,u,g,k,v,0.035088,t,f,0,t,g,0,0,+
b,0.516241,0.215714,u,g,k,v,0.001404,f,f,0,f,g,0,0.0269,+
a,0.482406,0.375,u,g,q,v,0.175439,t,t,0.104478,t,g,0,0,+
b,0.344662,0.157679,y,p,k,v,0.008772,t,t,0.149254,t,g,0.16,0,+
b,0.218045,0.03125,u,g,m,v,0.033684,t,t,0.044776,t,g,0.198,0,+
a,0.142857,0.209821,u,g,q,v,0.111228,t,t,0.149254,f,g,0.06,0.00245,+
b,0.121504,0.008929,u,g,d,h,0.023333,t,f,0,t,g,0,0,+
a,0.081504,0.306607,u,g,cc,h,0.026316,t,t,0.104478,f,g,0.048,0,+
b,0.169173,0.401786,u,g,c,v,0.087719,t,t,0.253731,f,g,0.1,0.01208,+
b,0.142857,0.035714,u,g,c,v,0.029298,t,f,0,f,s,0.15,0,+
a,0.511278,0.285714,u,g,c,v,0.276316,t,t,0.089552,t,g,0,0.0126,+
a,0.205564,0.517857,u,g,x,h,0.108246,t,t,0.014925,f,g,0.06,0.00011,+
a,0.412331,0.232143,u,g,q,v,0.017544,t,t,0.044776,t,g,0.0725,0,+
a,0.031278,0.020893,u,g,c,h,0.052632,t,t,0.029851,f,g,0.05,0,+
a,0.5,0.464286,u,g,i,bb,0.181228,t,t,0.134328,t,g,0,0,+
b,0.64406,0.660714,u,g,d,bb,0.526316,t,t,0.253731,t,g,0,0,+
b,0.656692,0.303571,u,g,e,h,0.245614,t,t,0.044776,f,g,0,0,+
b,0.426015,0.037143,u,g,w,v,0.175439,t,t,0.089552,t,g,0.25,0.1,+
b,0.233083,0.528214,u,g,aa,v,0.176842,t,t,0.074627,t,g,0.084,0,+
b,0.424812,0.349643,u,g,x,h,0.279298,t,t,0.119403,f,g,0,0,+
b,0.537594,0.270893,u,g,i,bb,0.26614,t,t,0.223881,t,g,0,0.05,+
a,0.345865,0.183036,u,g,e,v,0.175439,t,f,0,t,g,0,0.04,+
a,0.132782,0.383929,u,g,q,v,0.014561,t,t,0.074627,t,g,0,0.0056,+
b,0.211729,0.053571,u,g,w,v,0.070175,t,t,0.164179,t,g,0.217,0.00035,+
b,0.203008,0.056607,u,g,cc,h,0.064386,t,t,0.179104,t,g,0.2915,0.00713,+
a,0.139098,0.419643,u,g,x,h,0.017544,t,t,0.029851,t,g,0.15,0.00551,+
b,0.210526,0.020893,y,p,cc,v,0.008772,t,t,0.029851,f,g,0.13,0.005,+
b,0.613985,0.33625,u,g,ff,ff,0.505789,t,t,0.164179,t,g,0.015,0.003,+
b,0.307068,0.3275,u,g,c,v,0.157895,t,t,0.179104,t,g,0,0.00221,+
b,0.22812,0.535714,u,g,c,h,0.187193,t,t,0.164179,f,g,0,0.02283,+
b,0.239398,0.050536,u,g,w,h,0.026316,t,t,0.014925,f,g,0.12,0.001,+
b,0.388421,0.496964,u,g,w,v,0.302632,t,t,0.089552,t,g,0.035,0,+
b,0.641654,1,y,p,c,v,1,t,t,0.597015,f,g,0,0.00015,+
b,0.610226,0.241071,u,g,c,h,0.092105,t,t,0.164179,t,g,0,0.00284,+
a,0.409774,0.072857,y,p,q,h,0.004386,t,t,0.343284,t,g,0.2275,0.01236,+
b,0.273233,0.159286,u,g,cc,h,0.21193,t,t,0.044776,f,g,0.1555,0.003,+
b,0.417293,0.055,u,g,i,bb,0.122807,f,f,0,f,g,0.108,0,+
b,0.152932,0.02375,u,g,c,v,0.005789,f,f,0,f,g,0.05,0,+
a,0.180451,0.017857,u,g,c,h,0.030702,t,f,0,t,g,0.2455,0,+
b,0.184211,0.035714,u,g,q,v,0.061404,t,f,0,t,g,0.14,0,+
b,0.35594,0.072857,u,g,w,v,0.001404,t,f,0,t,g,0.2,0.058,+
b,0.318346,0.089286,u,g,w,v,0,t,f,0,t,g,0.1195,0.002,+
b,0.308271,0.107143,u,g,cc,h,0.260175,t,f,0,t,g,0,0,+
b,0.14406,0.415179,y,p,w,v,0.029298,t,f,0,t,g,0.08,0.003,+
b,0.141654,0,u,g,cc,v,0.002982,t,f,0,f,g,0,0,+
b,0.45985,0.017857,u,g,i,h,0.175439,t,f,0,t,g,0.16,0,+
b,0.322105,0.160714,u,g,x,h,0.201754,f,f,0,t,s,0.3555,0,+
b,0.443609,0.107143,u,g,q,h,0.210526,t,t,0.164179,f,g,0.04,0,+
b,0.646617,0.4375,u,g,m,v,0.04386,t,t,0.059701,t,g,0.1,0,+
b,0.269474,0.577321,u,g,d,v,0.105263,t,t,0.134328,f,g,0.125,0.0073,+
a,0.145414,0.028214,y,p,q,v,0.052632,t,t,0.029851,t,g,0.04,0.004,+
a,0.100301,0.029821,u,g,q,v,0.055614,t,t,0.014925,f,g,0,0,+
